********************
Train and test 60-40% split with test_fold official
File number in train dataset: 539
********************
Extracting individual breathing cycles..
[Preprocessed train dataset information]
total number of audio data: 4142
Class 0 (normal) : 2063 (49.8%)
Class 1 (crackle): 1215 (29.3%)
Class 2 (wheeze) : 501  (12.1%)
Class 3 (both)   : 363  (8.8%)
********************
Train and test 60-40% split with test_fold official
File number in test dataset: 381
********************
Extracting individual breathing cycles..
[Preprocessed test dataset information]
total number of audio data: 2756
Class 0 (normal) : 1579 (57.3%)
Class 1 (crackle): 649  (23.5%)
Class 2 (wheeze) : 385  (14.0%)
Class 3 (both)   : 143  (5.2%)

 Loaded SSAST-Custom-230831.pth successfully.
now load a SSL pretrained models from Custom
pretraining patch split stride: frequency=16, time=16
pretraining patch shape: frequency=16, time=16
pretraining patch array dimension: frequency=8, time=64
pretraining number of patches=512
fine-tuning patch split stride: frequncey=10, time=10
fine-tuning number of patches=948
********************
Training for 50 epochs on icbhi dataset
Train: [1][10/517]	BT 0.232 (1.175)	DT 0.032 (0.170)	loss 1.277 (1.398)	Acc@1 12.500 (13.750)
Train: [1][20/517]	BT 0.229 (0.701)	DT 0.029 (0.098)	loss 1.316 (1.474)	Acc@1 37.500 (22.500)
Train: [1][30/517]	BT 0.226 (0.543)	DT 0.026 (0.075)	loss 1.480 (1.471)	Acc@1 25.000 (31.667)
Train: [1][40/517]	BT 0.226 (0.464)	DT 0.026 (0.063)	loss 1.366 (1.445)	Acc@1 62.500 (36.562)
Train: [1][50/517]	BT 0.226 (0.417)	DT 0.026 (0.056)	loss 1.297 (1.425)	Acc@1 62.500 (39.000)
Train: [1][60/517]	BT 0.234 (0.386)	DT 0.031 (0.051)	loss 1.445 (1.417)	Acc@1 50.000 (40.417)
Train: [1][70/517]	BT 0.229 (0.363)	DT 0.028 (0.048)	loss 1.320 (1.409)	Acc@1 37.500 (39.464)
Train: [1][80/517]	BT 0.227 (0.346)	DT 0.026 (0.045)	loss 1.280 (1.399)	Acc@1 37.500 (40.781)
Train: [1][90/517]	BT 0.232 (0.333)	DT 0.032 (0.043)	loss 1.385 (1.400)	Acc@1 37.500 (40.417)
Train: [1][100/517]	BT 0.229 (0.323)	DT 0.029 (0.041)	loss 1.191 (1.387)	Acc@1 62.500 (41.375)
Train: [1][110/517]	BT 0.228 (0.314)	DT 0.026 (0.040)	loss 1.276 (1.385)	Acc@1 50.000 (42.159)
Train: [1][120/517]	BT 0.227 (0.307)	DT 0.025 (0.039)	loss 1.132 (1.389)	Acc@1 62.500 (42.396)
Train: [1][130/517]	BT 0.232 (0.301)	DT 0.030 (0.038)	loss 1.300 (1.380)	Acc@1 50.000 (43.365)
Train: [1][140/517]	BT 0.229 (0.296)	DT 0.026 (0.037)	loss 1.658 (1.378)	Acc@1 37.500 (43.214)
Train: [1][150/517]	BT 0.229 (0.291)	DT 0.027 (0.037)	loss 1.087 (1.375)	Acc@1 75.000 (43.667)
Train: [1][160/517]	BT 0.228 (0.287)	DT 0.027 (0.036)	loss 1.287 (1.370)	Acc@1 62.500 (44.688)
Train: [1][170/517]	BT 0.228 (0.284)	DT 0.026 (0.036)	loss 1.275 (1.370)	Acc@1 25.000 (44.485)
Train: [1][180/517]	BT 0.233 (0.281)	DT 0.032 (0.035)	loss 1.244 (1.366)	Acc@1 50.000 (44.236)
Train: [1][190/517]	BT 0.228 (0.278)	DT 0.025 (0.035)	loss 1.274 (1.364)	Acc@1 37.500 (43.882)
Train: [1][200/517]	BT 0.229 (0.276)	DT 0.027 (0.034)	loss 1.402 (1.364)	Acc@1 37.500 (43.500)
Train: [1][210/517]	BT 0.232 (0.274)	DT 0.029 (0.034)	loss 1.354 (1.363)	Acc@1 50.000 (43.333)
Train: [1][220/517]	BT 0.231 (0.272)	DT 0.028 (0.034)	loss 1.458 (1.364)	Acc@1 37.500 (43.011)
Train: [1][230/517]	BT 0.229 (0.270)	DT 0.027 (0.033)	loss 1.283 (1.364)	Acc@1 25.000 (43.152)
Train: [1][240/517]	BT 0.231 (0.268)	DT 0.029 (0.033)	loss 1.290 (1.359)	Acc@1 62.500 (43.594)
