********************
Train and test 60-40% split with test_fold official
File number in train dataset: 539
********************
Extracting individual breathing cycles..
[Preprocessed train dataset information]
total number of audio data: 4142
Class 0 (normal) : 2063 (49.8%)
Class 1 (crackle): 1215 (29.3%)
Class 2 (wheeze) : 501  (12.1%)
Class 3 (both)   : 363  (8.8%)
********************
Train and test 60-40% split with test_fold official
File number in test dataset: 381
********************
Extracting individual breathing cycles..
[Preprocessed test dataset information]
total number of audio data: 2756
Class 0 (normal) : 1579 (57.3%)
Class 1 (crackle): 649  (23.5%)
Class 2 (wheeze) : 385  (14.0%)
Class 3 (both)   : 143  (5.2%)

 Loaded SSAST-Custom-230911.pth successfully.
now load a SSL pretrained models from Custom
pretraining patch split stride: frequency=16, time=16
pretraining patch shape: frequency=16, time=16
pretraining patch array dimension: frequency=8, time=64
pretraining number of patches=512
fine-tuning patch split stride: frequncey=10, time=10
fine-tuning number of patches=948
********************
Training for 50 epochs on icbhi dataset
Train: [1][10/517]	BT 0.234 (3.935)	DT 0.030 (0.320)	loss 1.861 (1.586)	Acc@1 0.000 (18.750)
Train: [1][20/517]	BT 0.229 (2.082)	DT 0.029 (0.175)	loss 1.184 (1.520)	Acc@1 25.000 (16.875)
Train: [1][30/517]	BT 0.229 (1.465)	DT 0.029 (0.126)	loss 1.250 (1.507)	Acc@1 62.500 (22.500)
Train: [1][40/517]	BT 0.230 (1.156)	DT 0.030 (0.102)	loss 1.396 (1.470)	Acc@1 37.500 (30.000)
Train: [1][50/517]	BT 0.233 (0.971)	DT 0.031 (0.088)	loss 1.452 (1.460)	Acc@1 37.500 (33.000)
Train: [1][60/517]	BT 0.229 (0.847)	DT 0.028 (0.078)	loss 1.428 (1.454)	Acc@1 25.000 (34.375)
Train: [1][70/517]	BT 0.229 (0.759)	DT 0.029 (0.071)	loss 1.445 (1.445)	Acc@1 25.000 (34.821)
Train: [1][80/517]	BT 0.230 (0.693)	DT 0.029 (0.066)	loss 1.420 (1.435)	Acc@1 50.000 (36.406)
Train: [1][90/517]	BT 0.230 (0.642)	DT 0.030 (0.062)	loss 1.373 (1.426)	Acc@1 37.500 (37.778)
Train: [1][100/517]	BT 0.231 (0.600)	DT 0.029 (0.058)	loss 1.570 (1.420)	Acc@1 12.500 (38.750)
Train: [1][110/517]	BT 0.230 (0.567)	DT 0.029 (0.056)	loss 1.426 (1.411)	Acc@1 37.500 (39.432)
Train: [1][120/517]	BT 0.230 (0.539)	DT 0.029 (0.054)	loss 1.550 (1.408)	Acc@1 75.000 (40.521)
Train: [1][130/517]	BT 0.230 (0.515)	DT 0.029 (0.052)	loss 1.505 (1.403)	Acc@1 12.500 (40.000)
