********************
Train and test 60-40% split with test_fold official
File number in train dataset: 539
********************
Extracting individual breathing cycles..
[Preprocessed train dataset information]
total number of audio data: 4142
Class 0 (normal) : 2063 (49.8%)
Class 1 (crackle): 1215 (29.3%)
Class 2 (wheeze) : 501  (12.1%)
Class 3 (both)   : 363  (8.8%)
********************
Train and test 60-40% split with test_fold official
File number in test dataset: 381
********************
Extracting individual breathing cycles..
[Preprocessed test dataset information]
total number of audio data: 2756
Class 0 (normal) : 1579 (57.3%)
Class 1 (crackle): 649  (23.5%)
Class 2 (wheeze) : 385  (14.0%)
Class 3 (both)   : 143  (5.2%)

 Loaded SSAST-Custom-230918.pth successfully.
now load a SSL pretrained models from Custom
pretraining patch split stride: frequency=16, time=16
pretraining patch shape: frequency=16, time=16
pretraining patch array dimension: frequency=8, time=64
pretraining number of patches=512
fine-tuning patch split stride: frequncey=10, time=10
fine-tuning number of patches=948
********************
Training for 50 epochs on icbhi dataset
Train: [1][10/517]	BT 0.227 (3.095)	DT 0.028 (0.501)	loss 1.296 (1.442)	Acc@1 25.000 (25.000)
Train: [1][20/517]	BT 0.228 (1.661)	DT 0.028 (0.264)	loss 1.304 (1.425)	Acc@1 12.500 (18.750)
Train: [1][30/517]	BT 0.228 (1.183)	DT 0.028 (0.186)	loss 1.398 (1.416)	Acc@1 25.000 (19.583)
Train: [1][40/517]	BT 0.228 (0.944)	DT 0.028 (0.146)	loss 1.296 (1.407)	Acc@1 50.000 (23.125)
Train: [1][50/517]	BT 0.228 (0.801)	DT 0.028 (0.123)	loss 1.291 (1.392)	Acc@1 62.500 (31.250)
Train: [1][60/517]	BT 0.230 (0.705)	DT 0.028 (0.107)	loss 1.474 (1.379)	Acc@1 62.500 (35.833)
Train: [1][70/517]	BT 0.229 (0.637)	DT 0.028 (0.096)	loss 1.393 (1.386)	Acc@1 50.000 (37.143)
Train: [1][80/517]	BT 0.228 (0.586)	DT 0.028 (0.087)	loss 1.527 (1.383)	Acc@1 12.500 (36.562)
Train: [1][90/517]	BT 0.228 (0.546)	DT 0.028 (0.081)	loss 1.166 (1.379)	Acc@1 50.000 (35.556)
Train: [1][100/517]	BT 0.229 (0.515)	DT 0.028 (0.075)	loss 1.560 (1.373)	Acc@1 25.000 (35.750)
Train: [1][110/517]	BT 0.228 (0.489)	DT 0.027 (0.071)	loss 1.272 (1.363)	Acc@1 37.500 (37.045)
Train: [1][120/517]	BT 0.229 (0.467)	DT 0.028 (0.067)	loss 1.121 (1.365)	Acc@1 75.000 (38.021)
Train: [1][130/517]	BT 0.229 (0.449)	DT 0.028 (0.064)	loss 1.537 (1.362)	Acc@1 62.500 (39.327)
Train: [1][140/517]	BT 0.229 (0.433)	DT 0.028 (0.062)	loss 1.081 (1.358)	Acc@1 87.500 (40.625)
Train: [1][150/517]	BT 0.229 (0.420)	DT 0.029 (0.060)	loss 1.548 (1.358)	Acc@1 25.000 (40.750)
Train: [1][160/517]	BT 0.229 (0.408)	DT 0.028 (0.058)	loss 1.183 (1.356)	Acc@1 75.000 (41.484)
Train: [1][170/517]	BT 0.229 (0.397)	DT 0.027 (0.056)	loss 1.128 (1.354)	Acc@1 62.500 (41.985)
Train: [1][180/517]	BT 0.228 (0.388)	DT 0.027 (0.054)	loss 1.383 (1.355)	Acc@1 50.000 (42.361)
Train: [1][190/517]	BT 0.229 (0.380)	DT 0.028 (0.053)	loss 1.532 (1.354)	Acc@1 25.000 (42.829)
Train: [1][200/517]	BT 0.230 (0.372)	DT 0.028 (0.052)	loss 1.035 (1.352)	Acc@1 50.000 (42.688)
Train: [1][210/517]	BT 0.230 (0.365)	DT 0.028 (0.051)	loss 1.271 (1.351)	Acc@1 62.500 (42.262)
Train: [1][220/517]	BT 0.229 (0.359)	DT 0.027 (0.050)	loss 1.051 (1.351)	Acc@1 50.000 (42.273)
Train: [1][230/517]	BT 0.230 (0.353)	DT 0.028 (0.049)	loss 1.231 (1.348)	Acc@1 62.500 (42.663)
Train: [1][240/517]	BT 0.230 (0.348)	DT 0.028 (0.048)	loss 1.411 (1.347)	Acc@1 75.000 (43.229)
Train: [1][250/517]	BT 0.230 (0.344)	DT 0.028 (0.047)	loss 1.250 (1.347)	Acc@1 50.000 (43.550)
Train: [1][260/517]	BT 0.229 (0.339)	DT 0.028 (0.046)	loss 1.439 (1.345)	Acc@1 25.000 (43.798)
Train: [1][270/517]	BT 0.232 (0.335)	DT 0.029 (0.046)	loss 1.393 (1.346)	Acc@1 37.500 (43.889)
Train: [1][280/517]	BT 0.231 (0.331)	DT 0.029 (0.045)	loss 1.576 (1.341)	Acc@1 37.500 (44.420)
Train: [1][290/517]	BT 0.229 (0.328)	DT 0.028 (0.044)	loss 1.369 (1.338)	Acc@1 37.500 (44.698)
Train: [1][300/517]	BT 0.228 (0.325)	DT 0.027 (0.044)	loss 1.231 (1.334)	Acc@1 62.500 (45.208)
Train: [1][310/517]	BT 0.229 (0.322)	DT 0.027 (0.043)	loss 1.362 (1.332)	Acc@1 50.000 (45.363)
Train: [1][320/517]	BT 0.230 (0.319)	DT 0.028 (0.043)	loss 1.293 (1.334)	Acc@1 62.500 (45.195)
Train: [1][330/517]	BT 0.229 (0.316)	DT 0.027 (0.042)	loss 1.173 (1.334)	Acc@1 75.000 (45.682)
Train: [1][340/517]	BT 0.229 (0.314)	DT 0.028 (0.042)	loss 1.221 (1.332)	Acc@1 50.000 (45.846)
Train: [1][350/517]	BT 0.231 (0.311)	DT 0.028 (0.042)	loss 1.328 (1.331)	Acc@1 62.500 (46.107)
Train: [1][360/517]	BT 0.230 (0.309)	DT 0.028 (0.041)	loss 1.081 (1.328)	Acc@1 75.000 (46.285)
Train: [1][370/517]	BT 0.237 (0.307)	DT 0.035 (0.041)	loss 1.468 (1.327)	Acc@1 37.500 (46.216)
Train: [1][380/517]	BT 0.231 (0.305)	DT 0.028 (0.041)	loss 1.212 (1.326)	Acc@1 62.500 (46.513)
Train: [1][390/517]	BT 0.230 (0.303)	DT 0.027 (0.040)	loss 1.058 (1.325)	Acc@1 25.000 (46.474)
Train: [1][400/517]	BT 0.230 (0.301)	DT 0.028 (0.040)	loss 1.132 (1.322)	Acc@1 37.500 (46.750)
Train: [1][410/517]	BT 0.230 (0.299)	DT 0.027 (0.040)	loss 1.290 (1.318)	Acc@1 62.500 (47.043)
Train: [1][420/517]	BT 0.230 (0.298)	DT 0.028 (0.039)	loss 1.232 (1.316)	Acc@1 37.500 (47.202)
Train: [1][430/517]	BT 0.230 (0.296)	DT 0.028 (0.039)	loss 1.197 (1.314)	Acc@1 62.500 (47.267)
Train: [1][440/517]	BT 0.236 (0.295)	DT 0.033 (0.039)	loss 1.413 (1.310)	Acc@1 62.500 (47.557)
Train: [1][450/517]	BT 0.230 (0.293)	DT 0.027 (0.039)	loss 1.131 (1.312)	Acc@1 50.000 (47.583)
Train: [1][460/517]	BT 0.231 (0.292)	DT 0.028 (0.038)	loss 1.417 (1.311)	Acc@1 12.500 (47.745)
Train: [1][470/517]	BT 0.231 (0.291)	DT 0.027 (0.038)	loss 1.587 (1.308)	Acc@1 25.000 (47.766)
Train: [1][480/517]	BT 0.230 (0.289)	DT 0.028 (0.038)	loss 1.270 (1.308)	Acc@1 25.000 (47.734)
Train: [1][490/517]	BT 0.230 (0.288)	DT 0.028 (0.038)	loss 1.501 (1.306)	Acc@1 37.500 (47.730)
Train: [1][500/517]	BT 0.231 (0.287)	DT 0.028 (0.038)	loss 1.388 (1.308)	Acc@1 50.000 (47.725)
Train: [1][510/517]	BT 0.232 (0.286)	DT 0.028 (0.037)	loss 1.059 (1.306)	Acc@1 62.500 (47.868)
Train epoch 1, total time 147.83, accuracy:47.78
 * S_p: 46.17, S_e: 36.11, Score: 41.14 (Best S_p: 46.17, S_e: 36.11, Score: 41.14)
 * Acc@1 41.87
Best ckpt is modified with Score = 41.14 when Epoch = 1
==> Saving...
Train: [2][10/517]	BT 0.232 (0.507)	DT 0.028 (0.280)	loss 1.402 (1.200)	Acc@1 25.000 (58.750)
Train: [2][20/517]	BT 0.235 (0.369)	DT 0.031 (0.154)	loss 1.295 (1.245)	Acc@1 25.000 (51.250)
Train: [2][30/517]	BT 0.237 (0.324)	DT 0.033 (0.113)	loss 1.430 (1.252)	Acc@1 37.500 (52.500)
Train: [2][40/517]	BT 0.232 (0.301)	DT 0.028 (0.091)	loss 0.990 (1.254)	Acc@1 62.500 (52.812)
Train: [2][50/517]	BT 0.231 (0.287)	DT 0.028 (0.079)	loss 1.123 (1.243)	Acc@1 50.000 (51.250)
Train: [2][60/517]	BT 0.230 (0.278)	DT 0.027 (0.070)	loss 1.468 (1.225)	Acc@1 12.500 (51.458)
Train: [2][70/517]	BT 0.232 (0.271)	DT 0.028 (0.064)	loss 0.822 (1.209)	Acc@1 62.500 (51.964)
Train: [2][80/517]	BT 0.233 (0.266)	DT 0.028 (0.060)	loss 1.791 (1.215)	Acc@1 62.500 (52.500)
Train: [2][90/517]	BT 0.232 (0.263)	DT 0.028 (0.056)	loss 1.189 (1.210)	Acc@1 50.000 (53.333)
Train: [2][100/517]	BT 0.232 (0.260)	DT 0.028 (0.054)	loss 1.267 (1.210)	Acc@1 50.000 (53.125)
Train: [2][110/517]	BT 0.237 (0.257)	DT 0.032 (0.051)	loss 1.252 (1.218)	Acc@1 37.500 (52.500)
Train: [2][120/517]	BT 0.233 (0.255)	DT 0.028 (0.049)	loss 1.300 (1.216)	Acc@1 37.500 (52.396)
Train: [2][130/517]	BT 0.231 (0.253)	DT 0.028 (0.048)	loss 1.220 (1.215)	Acc@1 75.000 (53.077)
Train: [2][140/517]	BT 0.232 (0.252)	DT 0.028 (0.046)	loss 1.230 (1.211)	Acc@1 50.000 (53.214)
Train: [2][150/517]	BT 0.231 (0.250)	DT 0.028 (0.045)	loss 1.188 (1.213)	Acc@1 62.500 (53.167)
Train: [2][160/517]	BT 0.231 (0.249)	DT 0.027 (0.044)	loss 1.194 (1.212)	Acc@1 62.500 (52.812)
Train: [2][170/517]	BT 0.237 (0.248)	DT 0.032 (0.043)	loss 1.025 (1.206)	Acc@1 62.500 (53.235)
Train: [2][180/517]	BT 0.232 (0.247)	DT 0.028 (0.042)	loss 0.669 (1.202)	Acc@1 75.000 (53.264)
Train: [2][190/517]	BT 0.232 (0.247)	DT 0.028 (0.042)	loss 1.324 (1.211)	Acc@1 37.500 (52.566)
Train: [2][200/517]	BT 0.233 (0.246)	DT 0.028 (0.041)	loss 0.997 (1.210)	Acc@1 75.000 (52.562)
Train: [2][210/517]	BT 0.232 (0.245)	DT 0.028 (0.040)	loss 1.258 (1.209)	Acc@1 37.500 (52.619)
Train: [2][220/517]	BT 0.232 (0.245)	DT 0.028 (0.040)	loss 1.521 (1.204)	Acc@1 37.500 (52.784)
Train: [2][230/517]	BT 0.232 (0.244)	DT 0.028 (0.039)	loss 1.349 (1.207)	Acc@1 87.500 (53.261)
Train: [2][240/517]	BT 0.231 (0.244)	DT 0.028 (0.039)	loss 1.404 (1.210)	Acc@1 37.500 (53.021)
Train: [2][250/517]	BT 0.232 (0.243)	DT 0.028 (0.038)	loss 0.925 (1.207)	Acc@1 62.500 (53.600)
Train: [2][260/517]	BT 0.232 (0.243)	DT 0.028 (0.038)	loss 1.513 (1.209)	Acc@1 37.500 (53.558)
Train: [2][270/517]	BT 0.232 (0.242)	DT 0.028 (0.038)	loss 0.929 (1.209)	Acc@1 62.500 (53.611)
Train: [2][280/517]	BT 0.232 (0.242)	DT 0.028 (0.037)	loss 0.744 (1.208)	Acc@1 87.500 (53.571)
Train: [2][290/517]	BT 0.231 (0.242)	DT 0.028 (0.037)	loss 1.379 (1.211)	Acc@1 50.000 (53.491)
Train: [2][300/517]	BT 0.231 (0.241)	DT 0.028 (0.037)	loss 1.900 (1.209)	Acc@1 37.500 (53.542)
Train: [2][310/517]	BT 0.232 (0.241)	DT 0.028 (0.036)	loss 1.220 (1.207)	Acc@1 25.000 (53.508)
Train: [2][320/517]	BT 0.231 (0.241)	DT 0.028 (0.036)	loss 1.743 (1.207)	Acc@1 12.500 (53.203)
Train: [2][330/517]	BT 0.232 (0.241)	DT 0.028 (0.036)	loss 1.348 (1.207)	Acc@1 50.000 (53.144)
Train: [2][340/517]	BT 0.232 (0.240)	DT 0.028 (0.036)	loss 1.514 (1.208)	Acc@1 25.000 (53.088)
Train: [2][350/517]	BT 0.232 (0.240)	DT 0.028 (0.035)	loss 1.335 (1.212)	Acc@1 25.000 (52.929)
Train: [2][360/517]	BT 0.232 (0.240)	DT 0.028 (0.035)	loss 1.214 (1.211)	Acc@1 37.500 (52.778)
Train: [2][370/517]	BT 0.232 (0.240)	DT 0.028 (0.035)	loss 1.256 (1.212)	Acc@1 25.000 (52.804)
Train: [2][380/517]	BT 0.231 (0.239)	DT 0.028 (0.035)	loss 0.838 (1.210)	Acc@1 87.500 (53.026)
Train: [2][390/517]	BT 0.233 (0.239)	DT 0.028 (0.035)	loss 1.313 (1.209)	Acc@1 50.000 (53.205)
Train: [2][400/517]	BT 0.233 (0.239)	DT 0.028 (0.035)	loss 1.286 (1.209)	Acc@1 62.500 (53.156)
Train: [2][410/517]	BT 0.233 (0.239)	DT 0.028 (0.034)	loss 1.164 (1.208)	Acc@1 50.000 (53.049)
Train: [2][420/517]	BT 0.230 (0.239)	DT 0.027 (0.034)	loss 1.215 (1.208)	Acc@1 37.500 (53.095)
Train: [2][430/517]	BT 0.236 (0.239)	DT 0.033 (0.034)	loss 1.501 (1.206)	Acc@1 75.000 (53.023)
Train: [2][440/517]	BT 0.230 (0.238)	DT 0.027 (0.034)	loss 1.157 (1.204)	Acc@1 50.000 (53.011)
Train: [2][450/517]	BT 0.231 (0.238)	DT 0.028 (0.034)	loss 0.849 (1.205)	Acc@1 62.500 (52.750)
Train: [2][460/517]	BT 0.232 (0.238)	DT 0.029 (0.034)	loss 1.373 (1.205)	Acc@1 25.000 (52.690)
Train: [2][470/517]	BT 0.235 (0.238)	DT 0.028 (0.034)	loss 0.833 (1.205)	Acc@1 50.000 (52.553)
Train: [2][480/517]	BT 0.232 (0.238)	DT 0.028 (0.034)	loss 1.471 (1.205)	Acc@1 25.000 (52.526)
Train: [2][490/517]	BT 0.231 (0.238)	DT 0.028 (0.033)	loss 1.018 (1.203)	Acc@1 62.500 (52.296)
Train: [2][500/517]	BT 0.230 (0.238)	DT 0.027 (0.033)	loss 1.429 (1.207)	Acc@1 50.000 (52.125)
Train: [2][510/517]	BT 0.231 (0.237)	DT 0.027 (0.033)	loss 1.104 (1.205)	Acc@1 50.000 (52.279)
Train epoch 2, total time 123.09, accuracy:52.25
 * S_p: 28.75, S_e: 46.98, Score: 37.87 (Best S_p: 46.17, S_e: 36.11, Score: 41.14)
 * Acc@1 36.54
Train: [3][10/517]	BT 0.232 (0.490)	DT 0.028 (0.286)	loss 1.409 (1.252)	Acc@1 50.000 (46.250)
Train: [3][20/517]	BT 0.232 (0.361)	DT 0.028 (0.157)	loss 1.276 (1.173)	Acc@1 50.000 (50.625)
Train: [3][30/517]	BT 0.232 (0.318)	DT 0.028 (0.114)	loss 1.177 (1.130)	Acc@1 25.000 (52.917)
Train: [3][40/517]	BT 0.232 (0.296)	DT 0.028 (0.093)	loss 1.251 (1.140)	Acc@1 37.500 (54.375)
Train: [3][50/517]	BT 0.231 (0.283)	DT 0.028 (0.080)	loss 1.071 (1.162)	Acc@1 62.500 (54.000)
Train: [3][60/517]	BT 0.232 (0.275)	DT 0.028 (0.071)	loss 1.083 (1.152)	Acc@1 50.000 (54.167)
Train: [3][70/517]	BT 0.231 (0.268)	DT 0.028 (0.065)	loss 0.980 (1.141)	Acc@1 62.500 (54.464)
Train: [3][80/517]	BT 0.230 (0.264)	DT 0.027 (0.060)	loss 0.984 (1.143)	Acc@1 50.000 (53.438)
Train: [3][90/517]	BT 0.232 (0.260)	DT 0.028 (0.057)	loss 1.313 (1.145)	Acc@1 50.000 (53.194)
Train: [3][100/517]	BT 0.232 (0.257)	DT 0.029 (0.054)	loss 0.801 (1.123)	Acc@1 75.000 (53.750)
Train: [3][110/517]	BT 0.232 (0.255)	DT 0.028 (0.052)	loss 1.056 (1.121)	Acc@1 50.000 (54.432)
Train: [3][120/517]	BT 0.231 (0.253)	DT 0.028 (0.050)	loss 1.438 (1.125)	Acc@1 37.500 (54.271)
Train: [3][130/517]	BT 0.231 (0.251)	DT 0.028 (0.048)	loss 1.278 (1.125)	Acc@1 37.500 (53.942)
Train: [3][140/517]	BT 0.238 (0.250)	DT 0.035 (0.047)	loss 0.954 (1.126)	Acc@1 62.500 (53.661)
Train: [3][150/517]	BT 0.232 (0.249)	DT 0.028 (0.045)	loss 0.760 (1.119)	Acc@1 87.500 (54.250)
Train: [3][160/517]	BT 0.231 (0.248)	DT 0.028 (0.044)	loss 1.103 (1.126)	Acc@1 50.000 (54.141)
Train: [3][170/517]	BT 0.231 (0.247)	DT 0.028 (0.043)	loss 1.264 (1.127)	Acc@1 50.000 (54.265)
Train: [3][180/517]	BT 0.231 (0.246)	DT 0.028 (0.043)	loss 1.200 (1.137)	Acc@1 75.000 (54.306)
Train: [3][190/517]	BT 0.230 (0.245)	DT 0.028 (0.042)	loss 1.199 (1.133)	Acc@1 50.000 (54.803)
Train: [3][200/517]	BT 0.232 (0.245)	DT 0.028 (0.041)	loss 1.299 (1.132)	Acc@1 37.500 (54.938)
Train: [3][210/517]	BT 0.232 (0.244)	DT 0.028 (0.041)	loss 0.853 (1.132)	Acc@1 50.000 (55.060)
Train: [3][220/517]	BT 0.231 (0.243)	DT 0.028 (0.040)	loss 0.761 (1.125)	Acc@1 62.500 (55.170)
Train: [3][230/517]	BT 0.235 (0.243)	DT 0.032 (0.039)	loss 1.068 (1.125)	Acc@1 37.500 (54.674)
Train: [3][240/517]	BT 0.231 (0.242)	DT 0.028 (0.039)	loss 1.630 (1.128)	Acc@1 50.000 (54.740)
Train: [3][250/517]	BT 0.235 (0.242)	DT 0.031 (0.039)	loss 1.428 (1.131)	Acc@1 62.500 (54.900)
Train: [3][260/517]	BT 0.230 (0.242)	DT 0.028 (0.038)	loss 1.464 (1.127)	Acc@1 50.000 (54.952)
Train: [3][270/517]	BT 0.232 (0.241)	DT 0.028 (0.038)	loss 1.415 (1.129)	Acc@1 50.000 (54.861)
Train: [3][280/517]	BT 0.231 (0.241)	DT 0.028 (0.037)	loss 1.314 (1.127)	Acc@1 62.500 (55.223)
Train: [3][290/517]	BT 0.230 (0.241)	DT 0.028 (0.037)	loss 1.229 (1.129)	Acc@1 50.000 (54.957)
Train: [3][300/517]	BT 0.231 (0.240)	DT 0.028 (0.037)	loss 1.107 (1.131)	Acc@1 62.500 (54.667)
